chunk_id,parent_document_id,file_name,doc_type,page_number,source_path
doc_00001_chunk_044,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_045,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_046,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_047,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_048,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00001_chunk_049,doc_00001,cui-ssp-template-final.docx,docx,,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\cui-ssp-template-final.docx
doc_00002_chunk_000,doc_00002,NIST.CSWP.29.pdf,pdf,0.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00003_chunk_000,doc_00003,NIST.CSWP.29.pdf,pdf,1.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00003_chunk_001,doc_00003,NIST.CSWP.29.pdf,pdf,1.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00003_chunk_002,doc_00003,NIST.CSWP.29.pdf,pdf,1.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00003_chunk_003,doc_00003,NIST.CSWP.29.pdf,pdf,1.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00004_chunk_000,doc_00004,NIST.CSWP.29.pdf,pdf,2.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00005_chunk_000,doc_00005,NIST.CSWP.29.pdf,pdf,3.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00005_chunk_001,doc_00005,NIST.CSWP.29.pdf,pdf,3.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00005_chunk_002,doc_00005,NIST.CSWP.29.pdf,pdf,3.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00005_chunk_003,doc_00005,NIST.CSWP.29.pdf,pdf,3.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00006_chunk_000,doc_00006,NIST.CSWP.29.pdf,pdf,4.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00006_chunk_001,doc_00006,NIST.CSWP.29.pdf,pdf,4.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
doc_00006_chunk_002,doc_00006,NIST.CSWP.29.pdf,pdf,4.0,d:\Abhishek\Project\LangChain\cybersecurity-multi-doc-rag\data\raw\NIST.CSWP.29.pdf
